frame_id,height,l_ear_x,l_ear_y,l_elbow_x,l_elbow_y,l_eye_x,l_eye_y,l_foot_x,l_foot_y,l_hand_x,l_hand_y,l_hip_x,l_hip_y,l_knee_x,l_knee_y,l_shoulder_x,l_shoulder_y,neck_x,neck_y,nose_x,nose_y,person_id,r_ear_x,r_ear_y,r_elbow_x,r_elbow_y,r_eye_x,r_eye_y,r_foot_x,r_foot_y,r_hand_x,r_hand_y,r_hip_x,r_hip_y,r_knee_x,r_knee_y,r_shoulder_x,r_shoulder_y,threshold,width,R_1,R_2,R_3,T_1,T_2,T_3,position_x,position_y
7,960,862.9960000000001,383.1,868.1030000000001,414.455,862.855,380.55,844.5419999999999,490.175,865.459,430.1230000000001,857.623,432.771,844.722,466.601,865.4910000000001,398.887,857.685,398.807,860.3330000000001,383.101,0,852.454,380.607,829.051,411.878,860.179,380.517,841.9989999999999,490.103,821.179,430.17800000000005,841.9780000000001,430.135,841.9010000000001,464.03,844.584,393.61800000000005,0.8,1280,0.00200613983907,0.000306026020553,-0.0881829038261999,-0.00193553266581,0.00385116087273,-0.000620090053417,958.0555,420.9625
8,960,865.66,380.585,881.182,406.8080000000001,868.132,372.797,857.676,487.503,881.0880000000001,424.93,865.515,427.574,862.8839999999999,458.859,873.378,388.49,865.38,388.421,865.659,377.9980000000001,0,862.914,375.409,842.143,406.65,865.4939999999999,372.799,847.285,484.91,836.7589999999999,427.49300000000005,852.424,425.024,849.8530000000001,456.25,855.09,385.982,0.8,1280,0.000725454359781,-0.00182149466127,-0.0856893211603,0.000941586273257,0.00158057955559,-0.00654502632096,968.4465,431.4395
9,960,883.7139999999999,370.156,901.935,406.642,886.26,364.958,865.472,487.607,902.003,424.88,881.189,427.571,868.186,461.42800000000005,886.5010000000001,385.858,878.585,385.799,883.8639999999999,367.541,0,875.903,365.064,847.2860000000001,406.599,883.688,364.967,862.918,487.474,844.679,427.557,865.419,427.435,862.982,458.86,865.4019999999999,385.724,0.8,1280,-0.00066498038359,-0.000321184459608,-0.104539230466,0.00391735136509,0.00165054469835,-0.00630929321051,1020.535,415.7525
10,960,0.0,0.0,907.26,404.114,904.62,362.4330000000001,883.625,487.36800000000005,907.142,424.893,889.0260000000001,424.935,883.8689999999999,453.608,904.535,383.317,891.576,383.24300000000005,904.69,364.92,0,896.801,362.471,865.577,401.506,904.59,362.413,881.0139999999999,484.885,862.928,424.825,881.17,424.789,881.062,453.567,883.78,383.11800000000005,0.8,1280,-0.000223006602027,0.000220752728637,-0.0850403979421,0.00396411400288,0.000874298042618,-0.00291026756167,1044.045,409.299
11,960,0.0,0.0,925.535,398.846,922.85,354.54400000000004,896.747,479.67800000000005,925.566,414.515,909.926,419.726,904.661,448.505,922.828,378.018,907.301,375.44,922.853,359.67400000000004,0,907.267,357.124,883.694,396.257,920.262,354.534,886.297,471.88,873.375,422.3,901.928,414.543,896.79,448.452,901.894,372.792,0.8,1280,0.00308120413683,0.00155740045011,-0.0827725678682,6.83315101924e-06,0.00121287920047,0.00364653021097,1062.3249999999996,392.3055
12,960,0.0,0.0,946.163,388.507,941.012,344.208,907.31,474.466,943.693,404.115,927.991,409.293,922.777,445.858,935.885,367.55,925.521,365.1,941.067,346.821,0,925.572,346.72900000000004,902.039,385.893,935.921,344.255,904.494,474.45,894.132,406.635,909.839,406.6830000000001,907.202,445.793,917.593,365.044,0.8,1280,0.00193160749041,0.000309799303068,-0.0647072568536,-0.00302587356418,0.00241089030169,0.00261260895059,1102.725,397.5745
13,960,0.0,0.0,964.551,385.844,0.0,0.0,925.406,474.418,967.098,404.13,946.326,409.252,938.471,445.897,951.583,364.887,946.197,364.865,956.753,344.13199999999995,0,946.299,344.033,922.767,385.814,951.627,341.622,920.197,474.42,912.383,406.698,928.148,406.657,925.531,445.812,930.696,362.423,0.8,1280,-0.0001786911452649,-0.0013854210265,-0.0801645815371999,0.00264053256251,0.00081597949611,0.0006889319047329,1167.935,421.0295
14,960,0.0,0.0,985.303,396.245,972.42,354.56800000000004,946.336,490.084,985.387,409.285,967.205,422.26,967.121,458.815,972.415,375.388,964.558,372.786,969.888,359.76300000000003,0,964.493,357.125,941.072,393.675,969.655,357.07199999999995,941.072,490.007,941.077,414.526,948.906,419.665,946.252,456.19,948.909,370.162,0.8,1280,0.0014866826823,0.00173967867158,-0.0900392532348999,0.00351058831438,-0.0039384146221,-0.00265178293921,1190.09,426.158
15,960,0.0,0.0,988.017,409.39,985.389,365.104,961.906,505.711,985.367,424.98,974.972,432.782,980.164,471.945,985.357,388.396,967.271,385.927,982.785,370.182,0,967.228,367.551,948.854,409.348,975.032,365.109,946.346,505.652,961.979,427.639,954.155,430.104,948.975,466.627,954.123,385.934,0.8,1280,-7.39163151593e-05,0.00168166961521,-0.0853434577584,0.00389992934652,-0.0057884817943,-0.00330983661115,1188.79,426.158
27,960,774.2819999999999,354.511,787.355,380.656,779.447,346.846,776.8689999999999,451.078,792.525,391.021,779.336,401.38,779.419,427.516,779.3660000000001,364.86300000000006,769.087,362.494,779.485,351.964,2,771.68,349.298,761.288,380.615,779.393,346.81699999999995,761.2719999999999,453.591,766.414,385.846,763.922,401.362,763.8489999999999,427.564,763.784,362.482,0.8,1280,0.00248565967195,0.00127898680512,-0.107704199851,-0.00359531864524,-0.000924160005525,-0.000125772872707,986.7445,449.7505
