frame_id,height,l_ear_x,l_ear_y,l_elbow_x,l_elbow_y,l_eye_x,l_eye_y,l_foot_x,l_foot_y,l_hand_x,l_hand_y,l_hip_x,l_hip_y,l_knee_x,l_knee_y,l_shoulder_x,l_shoulder_y,neck_x,neck_y,nose_x,nose_y,person_id,r_ear_x,r_ear_y,r_elbow_x,r_elbow_y,r_eye_x,r_eye_y,r_foot_x,r_foot_y,r_hand_x,r_hand_y,r_hip_x,r_hip_y,r_knee_x,r_knee_y,r_shoulder_x,r_shoulder_y,threshold,width,R_1,R_2,R_3,T_1,T_2,T_3,position_x,position_y
14,960,573.577,432.8080000000001,555.303,482.271,0.0,0.0,565.725,570.992,563.058,495.339,570.808,508.286,570.752,537.0,568.2909999999999,456.201,581.395,456.196,0.0,0.0,0,591.851,437.961,610.009,484.836,0.0,0.0,589.101,570.979,604.8380000000001,503.093,591.715,508.295,591.688,544.841,596.951,458.791,0.8,1280,-0.00157258310355,0.00333439582027,-0.0863353610039,0.00159251748119,-0.0154237709939,-0.0052318465896,492.686,486.193
15,960,583.923,422.336,565.6419999999999,466.552,0.0,0.0,573.469,560.47,570.757,487.398,573.618,492.652,573.564,529.2090000000001,571.005,443.208,591.76,443.232,0.0,0.0,0,599.612,424.856,615.284,469.236,0.0,0.0,594.309,565.668,615.2919999999999,490.216,597.003,492.758,596.938,531.797,612.475,445.709,0.8,1280,0.00134318496566,0.00372883188538,-0.10641271621,-0.00499878171831,-0.0102658933029,0.00388898188248,467.9605,480.9435
16,960,591.8340000000001,422.279,573.553,466.525,0.0,0.0,589.2130000000001,552.734,576.153,487.454,589.139,487.586,591.619,523.996,581.337,443.094,597.012,440.605,0.0,0.0,0,612.52,424.795,628.2230000000001,466.582,0.0,0.0,604.817,557.924,625.641,487.556,609.989,487.548,610.054,529.0840000000001,615.214,443.111,0.8,1280,0.00218329927884,0.0015672723529899,-0.106568202376,-0.00576555728912,-0.00829031597823,0.00854435935616,461.5115,496.639
17,960,599.572,417.152,578.794,461.439,0.0,0.0,594.5419999999999,555.304,586.578,482.293,594.293,487.529,594.438,524.04,591.7,437.94,609.975,437.982,0.0,0.0,0,615.371,419.763,636.015,466.58,0.0,0.0,612.549,557.911,633.5419999999999,490.074,615.2040000000001,487.551,615.115,526.631,628.203,443.069,0.8,1280,0.00196671648882,-0.00147342146374,-0.104214377701,0.0054867998696899,0.000347995606717,0.00440043909475,457.472,518.758
18,960,604.8009999999999,409.385,583.992,461.463,0.0,0.0,602.179,552.808,583.955,487.337,594.384,487.454,596.985,521.444,591.823,430.245,612.5369999999999,432.709,0.0,0.0,0,617.923,411.92800000000005,636.19,463.974,0.0,0.0,612.49,555.257,636.009,487.578,615.3480000000001,487.424,615.148,524.03,630.852,435.347,0.8,1280,-0.00244417204522,0.00286445580423,-0.0759228914976,0.00647226301953,-0.00111349939834,-0.0041585136205,447.0775,505.694
19,960,599.572,406.765,578.776,456.219,0.0,0.0,597.005,552.701,581.345,479.682,594.242,484.859,594.4490000000001,518.776,591.73,427.648,610.0169999999999,427.669,0.0,0.0,0,617.8009999999999,409.262,636.186,456.207,0.0,0.0,607.4169999999999,552.705,633.5,484.865,615.205,484.865,612.601,521.375,628.219,430.1880000000001,0.8,1280,-0.00254548992962,0.00438614841551,-0.0767589062452,0.00148075225297,-0.00503449421376,0.00303178746253,436.595,490.0015
20,960,591.72,406.644,573.609,453.576,0.0,0.0,594.312,550.013,573.557,474.517,591.684,479.656,591.882,513.5319999999999,581.372,427.574,596.985,427.556,0.0,0.0,0,609.996,406.80300000000005,630.809,451.062,0.0,0.0,596.985,550.025,623.1030000000001,482.199,610.061,477.025,607.439,513.521,615.174,427.635,0.8,1280,-0.00266292807646,0.00292760902084,-0.072685174644,-0.00477340305224,-0.00753289461136,0.00842248927802,414.472,484.875
22,960,586.491,424.911,568.311,469.283,0.0,0.0,581.33,570.852,570.738,492.717,573.6669999999999,497.904,578.7040000000001,531.946,573.471,445.784,591.831,445.818,0.0,0.0,0,599.5830000000001,425.044,615.178,471.886,0.0,0.0,591.67,570.886,612.651,500.565,597.024,497.88,594.344,537.0269999999999,610.057,448.3,0.8,1280,0.000860788219143,0.00108967558481,-0.0884106606245,0.00367074366659,-0.00505023589358,0.00493249623105,381.9375,506.9755
30,960,464.084,404.034,443.151,448.408,0.0,0.0,469.228,552.712,445.836,469.246,453.601,477.1,466.497,513.5790000000001,448.505,425.005,469.302,424.991,0.0,0.0,0,482.263,406.559,500.539,448.412,0.0,0.0,487.451,550.048,505.727,466.512,482.32,474.45,487.36800000000005,513.514,490.157,425.008,0.8,1280,0.00544381607324,0.00123090203851,-0.119579218328,0.0019714566879,0.00541544565931,-0.00018509986694,318.041,486.1355
31,960,463.966,404.041,435.339,445.845,0.0,0.0,466.61300000000006,552.712,443.155,461.403,450.978,482.235,458.856,516.159,448.401,424.939,469.23,424.985,0.0,0.0,0,479.724,404.201,503.143,448.454,0.0,0.0,477.099,552.599,505.734,466.543,479.667,479.652,482.289,513.555,490.167,425.012,0.8,1280,0.00417530350387,0.00236544641666,-0.125597625971,-0.008016792126,-0.000658410834149,0.00480612087995,320.617,480.9815
