frame_id,height,l_ear_x,l_ear_y,l_elbow_x,l_elbow_y,l_eye_x,l_eye_y,l_foot_x,l_foot_y,l_hand_x,l_hand_y,l_hip_x,l_hip_y,l_knee_x,l_knee_y,l_shoulder_x,l_shoulder_y,neck_x,neck_y,nose_x,nose_y,person_id,r_ear_x,r_ear_y,r_elbow_x,r_elbow_y,r_eye_x,r_eye_y,r_foot_x,r_foot_y,r_hand_x,r_hand_y,r_hip_x,r_hip_y,r_knee_x,r_knee_y,r_shoulder_x,r_shoulder_y,threshold,width,R_1,R_2,R_3,T_1,T_2,T_3,position_x,position_y
3,960,132.843,409.351,114.639,448.348,0.0,0.0,114.594,531.798,0.0,0.0,125.129,469.211,114.833,500.503,125.113,427.575,138.12,427.61800000000005,0.0,0.0,0,146.026,409.408,156.525,451.032,0.0,0.0,153.76,531.913,159.034,469.228,151.15,469.3130000000001,151.196,503.151,153.86700000000002,427.681,0.8,1280,-0.0008417634526269,-0.000529508979525,-0.034139174968,0.000771210412495,-0.00212514726445,-0.000369433517335,126.477,469.252
4,960,130.24,411.926,114.638,448.386,0.0,0.0,112.02,531.715,114.569,461.398,122.557,469.257,114.747,500.535,122.535,427.622,135.595,427.673,0.0,0.0,0,140.755,411.956,156.444,451.028,0.0,0.0,153.816,531.941,156.545,466.721,148.58,471.814,151.165,505.672,153.743,430.138,0.8,1280,-0.00136539619416,5.21350266354e-05,-0.0424781106412,0.000391909474274,-0.00201024231501,0.000145611265907,122.5885,469.2915
4,960,1214.85,503.105,1279.98,636.136,1178.34,505.691,1097.47,881.1160000000001,0.0,0.0,1225.29,716.875,1154.86,787.341,1261.84,560.457,1217.51,560.447,1175.58,510.9980000000001,3,0.0,0.0,1152.25,633.5,1175.64,508.231,1303.57,896.778,1162.65,701.2289999999999,1180.93,711.689,1240.81,803.051,1175.6,557.86,0.8,1280,-0.00136539619416,5.21350266354e-05,-0.0424781106412,0.000391909474274,-0.00201024231501,0.000145611265907,1097.565,669.9855
5,960,119.901,411.9,112.019,448.442,0.0,0.0,111.949,531.7280000000001,109.461,464.067,117.37,469.214,114.719,500.555,117.297,427.639,132.94799999999998,430.088,0.0,0.0,0,135.53799999999998,414.5,153.84799999999998,448.519,0.0,0.0,153.679,531.936,153.833,469.185,138.279,469.287,138.253,500.512,143.431,430.098,0.8,1280,-0.0007115369662639,-0.000574905308895,-0.0364684350789,0.000255769351497,-0.00240830681287,-0.0007771741948089,108.2246,469.2415
5,960,1196.48,492.673,1277.3,620.4830000000001,1160.1,492.655,1094.88,878.5169999999999,1235.64,688.207,1207.0,696.118,1134.04,776.7719999999999,1238.37,555.27,1193.97,552.78,1154.89,505.717,3,0.0,0.0,1118.4,615.189,1154.85,492.74300000000005,1282.68,881.095,1118.35,672.6039999999999,1154.86,690.87,1165.32,779.472,1141.9,552.711,0.8,1280,-0.0007115369662639,-0.000574905308895,-0.0364684350789,0.000255769351497,-0.00240830681287,-0.0007771741948089,1064.925,657.0145
6,960,117.302,411.949,106.919,445.862,0.0,0.0,111.999,531.744,104.298,461.429,114.791,469.217,114.744,503.11,114.641,427.536,130.34799999999998,427.569,0.0,0.0,0,135.436,411.918,153.702,448.482,0.0,0.0,153.799,531.808,153.696,466.673,138.16299999999998,469.232,135.695,497.905,138.286,427.551,0.8,1280,-0.000362325139577,-0.000936017837375,-0.0398537740111,0.000515925406944,-0.00288725062273,-0.00124903710093,104.32025,467.9185
6,960,1167.86,490.087,1259.21,620.477,1136.72,490.034,1092.35,878.4789999999999,1269.61,703.915,1178.3,695.966,1115.88,776.887,1214.73,549.966,1165.27,550.007,1134.04,500.522,3,0.0,0.0,1097.52,610.056,1136.66,487.629,1238.16,860.302,1092.28,654.39,1118.44,683.0369999999999,1131.39,779.471,1120.95,549.98,0.8,1280,-0.000362325139577,-0.000936017837375,-0.0398537740111,0.000515925406944,-0.00288725062273,-0.00124903710093,1014.0975,654.379
7,960,112.2,411.871,99.1062,448.328,0.0,0.0,111.994,531.814,96.5422,458.853,112.201,469.281,112.149,497.982,111.95,427.564,122.539,427.582,0.0,0.0,0,132.82399999999998,409.395,148.631,448.514,0.0,0.0,151.179,529.1759999999999,151.214,466.717,135.515,469.302,135.49,497.946,135.632,427.577,0.8,1280,-0.000421524484409,-0.00102751539089,-0.0373659655452,0.00023881161178,-0.0026395046152199,-0.00100450217724,100.37845,467.944
8,960,112.134,409.357,99.0559,448.301,0.0,0.0,112.053,534.391,0.0,0.0,112.161,469.262,112.097,500.573,109.509,427.523,119.973,427.511,0.0,0.0,0,130.311,406.862,143.44299999999998,450.95,0.0,0.0,153.759,529.227,146.02200000000002,469.181,133.016,469.292,135.531,500.58,135.548,427.483,0.8,1280,-0.00247366866097,-0.00124048325233,-0.0219816919416,-0.000468526850455,-0.00270442687906,-0.00106225605123,86.05025,469.2005
9,960,109.504,409.336,91.3275,448.4,0.0,0.0,109.476,534.39,88.6638,458.779,106.84,469.302,106.841,505.772,104.232,427.516,114.758,427.57,106.902,424.812,0,122.577,409.285,135.645,450.969,0.0,0.0,138.123,529.241,135.674,469.222,125.147,469.343,130.292,505.731,132.87,427.594,0.8,1280,-0.00436847377568,-0.000859849271365,-0.00271235825494,-0.0003954189887739,-0.00178275001235,-0.000859803229105,82.10759999999998,467.9375
