,Unnamed: 0_x,Unnamed: 0.1,H_1_1,H_1_2,H_1_3,H_2_1,H_2_2,H_2_3,H_3_1,H_3_2,H_3_3,H_forward_1_1,H_forward_1_2,H_forward_1_3,H_forward_2_1,H_forward_2_2,H_forward_2_3,H_forward_3_1,H_forward_3_2,H_forward_3_3,frame_id,head_3d_1,head_3d_2,head_3d_3,height,l_ear_3d_1,l_ear_3d_2,l_ear_3d_3,l_elbow_3d_1,l_elbow_3d_2,l_elbow_3d_3,l_eye_3d_1,l_eye_3d_2,l_eye_3d_3,l_foot_3d_1,l_foot_3d_2,l_foot_3d_3,l_hand_3d_1,l_hand_3d_2,l_hand_3d_3,l_hip_3d_1,l_hip_3d_2,l_hip_3d_3,l_knee_3d_1,l_knee_3d_2,l_knee_3d_3,l_shoulder_3d_1,l_shoulder_3d_2,l_shoulder_3d_3,neck_3d_1,neck_3d_2,neck_3d_3,person_id,pose_bb_1,pose_bb_2,pose_bb_3,pose_bb_4,r_ear_3d_1,r_ear_3d_2,r_ear_3d_3,r_elbow_3d_1,r_elbow_3d_2,r_elbow_3d_3,r_eye_3d_1,r_eye_3d_2,r_eye_3d_3,r_foot_3d_1,r_foot_3d_2,r_foot_3d_3,r_hand_3d_1,r_hand_3d_2,r_hand_3d_3,r_hip_3d_1,r_hip_3d_2,r_hip_3d_3,r_knee_3d_1,r_knee_3d_2,r_knee_3d_3,r_shoulder_3d_1,r_shoulder_3d_2,r_shoulder_3d_3,threshold,upper_bb_1,upper_bb_2,upper_bb_3,upper_bb_4,width,R_1,R_2,R_3,T_1,T_2,T_3,Unnamed: 0_y,position_x,position_y
0,6049,31151,1.0070778637808029,0.00244383893252118,-2.412118025015773,0.003027235345303419,1.0050627488834334,-3.3136933181414614,3.67055973885258e-06,2.8800510627852227e-06,1.0,0.9929885669197528,-0.002421320786640477,2.3871821063899503,-0.0030028565489951713,0.994978773119621,3.2898112677707085,-3.6361754746812425e-06,-2.8567020703776117e-06,1.0,3,1081.92,403.984,0.910319,960,1118.44,401.492,0.918896,1173.14,516.207,0.7856920000000001,1092.34,391.078,0.907242,1092.27,698.5880000000002,0.822701,1167.93,571.02,0.901309,1118.35,557.8580000000002,0.8204899999999999,1095.04,633.572,0.8539120000000001,1160.05,448.413,0.8522860000000001,1121.03,445.875,0.8815930000000001,0,1050.56,391.078,1173.14,698.5880000000002,0.0,0.0,0.0,1071.54,487.384,0.410304,0.0,0.0,0.0,1074.13,667.367,0.683519,1050.62,490.13,0.576919,1074.01,552.62,0.875767,1050.56,623.04,0.8790479999999999,1087.12,445.703,0.872732,0.8,1050.62,391.078,1173.14,571.02,1280,-0.0033064298331700005,-0.00204074382782,-0.0231490246952,0.0004680224519690001,-0.00141621590592,0.0005790132563559999,6799,1066.185,556.5685
1,6095,31153,1.0070778637808029,0.00244383893252118,-2.412118025015773,0.003027235345303419,1.0050627488834334,-3.3136933181414614,3.67055973885258e-06,2.8800510627852227e-06,1.0,0.9929885669197528,-0.002421320786640477,2.3871821063899503,-0.0030028565489951713,0.994978773119621,3.2898112677707085,-3.6361754746812425e-06,-2.8567020703776117e-06,1.0,3,0.0,0.0,0.0,960,403.907,437.957,0.5480520000000001,385.906,500.508,0.7932359999999999,0.0,0.0,0.0,0.0,0.0,0.0,380.594,521.363,0.597367,398.872,526.613,0.779837,0.0,0.0,0.0,401.354,466.504,0.882541,406.654,466.523,0.823783,1,380.594,430.232,422.329,625.6619999999998,422.329,430.232,0.180375,0.0,0.0,0.0,0.0,0.0,0.0,411.954,625.6619999999998,0.368294,0.0,0.0,0.0,417.085,526.625,0.7471140000000001,414.485,573.474,0.786096,417.083,466.506,0.8097300000000001,0.8,380.594,430.232,422.329,526.625,1280,-0.0033064298331700005,-0.00204074382782,-0.0231490246952,0.0004680224519690001,-0.00141621590592,0.0005790132563559999,10058,374.1085,529.107
2,6101,31156,1.0070778637808029,0.00244383893252118,-2.412118025015773,0.003027235345303419,1.0050627488834334,-3.3136933181414614,3.67055973885258e-06,2.8800510627852227e-06,1.0,0.9929885669197528,-0.002421320786640477,2.3871821063899503,-0.0030028565489951713,0.994978773119621,3.2898112677707085,-3.6361754746812425e-06,-2.8567020703776117e-06,1.0,3,336.305,406.656,0.449642,960,344.089,404.184,1.00799,320.637,482.281,0.844641,338.904,404.104,0.545455,404.019,633.535,1.11516,302.283,516.156,0.921315,328.47,526.547,0.761462,362.31,586.477,0.900294,341.5,435.36,0.8794860000000001,362.277,440.566,0.8729129999999999,2,302.283,404.104,404.019,633.569,0.0,0.0,0.0,393.654,490.223,0.302464,0.0,0.0,0.0,318.06,633.569,0.954938,367.533,521.347,0.238941,351.946,526.555,0.709287,328.527,581.3380000000002,0.74844,370.176,437.994,0.849598,0.8,302.283,404.104,393.654,526.555,1280,-0.0033064298331700005,-0.00204074382782,-0.0231490246952,0.0004680224519690001,-0.00141621590592,0.0005790132563559999,922,318.0685,526.638
3,6131,31158,1.0070778637808029,0.00244383893252118,-2.412118025015773,0.003027235345303419,1.0050627488834334,-3.3136933181414614,3.67055973885258e-06,2.8800510627852227e-06,1.0,0.9929885669197528,-0.002421320786640477,2.3871821063899503,-0.0030028565489951713,0.994978773119621,3.2898112677707085,-3.6361754746812425e-06,-2.8567020703776117e-06,1.0,3,419.745,364.909,0.904541,960,466.694,359.735,0.902446,469.361,521.354,0.764257,427.65,351.945,0.8625440000000001,406.776,823.923,0.863762,461.374,615.127,0.8800790000000001,487.36800000000005,591.761,0.494857,430.142,714.209,0.79095,466.522,422.301,0.853672,479.691,417.09,0.775464,4,406.776,351.945,544.879,823.923,0.0,0.0,0.0,0.0,0.0,0.0,417.108,354.541,0.653825,544.879,805.508,0.813978,0.0,0.0,0.0,518.788,581.365,0.575634,521.398,690.805,0.746369,492.753,406.815,0.713835,0.8,417.108,351.945,518.788,615.127,1280,-0.0033064298331700005,-0.00204074382782,-0.0231490246952,0.0004680224519690001,-0.00141621590592,0.0005790132563559999,15609,454.9455,595.6514999999998
4,6161,31159,1.0070778637808029,0.00244383893252118,-2.412118025015773,0.003027235345303419,1.0050627488834334,-3.3136933181414614,3.67055973885258e-06,2.8800510627852227e-06,1.0,0.9929885669197528,-0.002421320786640477,2.3871821063899503,-0.0030028565489951713,0.994978773119621,3.2898112677707085,-3.6361754746812425e-06,-2.8567020703776117e-06,1.0,3,675.201,440.569,1.08887,960,711.696,443.128,0.742317,714.3539999999998,550.09,0.840405,688.2260000000001,430.186,1.03415,698.674,732.544,0.8356049999999999,677.8610000000001,537.063,0.8970229999999999,701.275,591.861,0.837513,667.334,659.5060000000002,0.901106,714.2810000000002,484.864,0.904481,698.6510000000002,482.283,0.832492,5,656.92,430.186,716.798,732.544,656.92,445.795,0.362357,711.67,547.456,0.269065,672.6239999999998,432.762,1.01654,716.798,722.171,0.602363,677.905,547.431,0.342756,706.495,591.759,0.717407,706.515,664.803,0.78359,696.0,482.206,0.757514,0.8,656.92,430.186,714.3539999999998,591.861,1280,-0.0033064298331700005,-0.00204074382782,-0.0231490246952,0.0004680224519690001,-0.00141621590592,0.0005790132563559999,9637,685.6055,591.7555
5,6178,31154,1.0070778637808029,0.00244383893252118,-2.412118025015773,0.003027235345303419,1.0050627488834334,-3.3136933181414614,3.67055973885258e-06,2.8800510627852227e-06,1.0,0.9929885669197528,-0.002421320786640477,2.3871821063899503,-0.0030028565489951713,0.994978773119621,3.2898112677707085,-3.6361754746812425e-06,-2.8567020703776117e-06,1.0,3,758.6510000000002,445.798,1.04691,960,797.747,448.29,0.874052,797.637,583.915,0.8861610000000001,766.444,435.407,0.8573049999999999,844.77,810.7189999999998,0.846268,745.6160000000001,633.4580000000002,0.907518,810.7810000000002,617.87,0.707357,821.069,719.426,0.8766079999999999,808.1469999999998,508.32,0.848252,800.202,503.134,0.81081,6,716.949,435.407,844.77,810.7189999999998,0.0,0.0,0.0,776.893,552.693,0.416846,761.113,437.951,0.341764,716.949,776.882,0.94322,753.403,550.096,0.63859,779.572,615.2819999999998,0.812883,748.19,698.72,0.75232,779.558,492.711,0.796717,0.8,745.6160000000001,435.407,810.7810000000002,633.4580000000002,1280,-0.0033064298331700005,-0.00204074382782,-0.0231490246952,0.0004680224519690001,-0.00141621590592,0.0005790132563559999,11148,746.9285,626.9915
6,6050,42520,1.0012791426281094,-0.000139612057712857,0.5279091604346061,0.0021750239450304674,1.0021021198423137,-2.3061806412291284,-3.587563441113226e-07,2.892759368961553e-06,1.0,0.9987288379634088,0.00014066313196920238,-0.526913707759211,-0.0021668633698121165,0.9979021765473732,2.3024865884162984,3.6456852098058576e-07,-2.8866404067235638e-06,1.0,4,1071.51,403.995,1.04275,960,1110.59,393.68300000000005,0.880908,1157.58,510.962,0.86616,1076.71,391.085,0.893352,1076.69,675.172,0.351871,1154.78,570.883,0.939364,1113.06,557.868,0.8197,1092.21,636.0790000000002,0.7271270000000001,1152.2,445.7480000000001,0.814615,1110.58,445.677,0.8984610000000001,0,1037.59,391.085,1157.58,675.172,0.0,0.0,0.0,1050.63,489.98800000000006,0.503894,0.0,0.0,0.0,0.0,0.0,0.0,1037.59,490.055,0.647363,1068.74,552.649,0.8485149999999999,0.0,0.0,0.0,1071.38,445.695,0.8590040000000001,0.8,1037.59,391.085,1157.58,570.883,1280,-0.00224585249089,-0.000154822686454,-0.0425186231732,0.00298159383237,-0.00277735386044,0.00169386982452,6786,1038.845,560.4725000000002
7,6102,42522,1.0012791426281094,-0.000139612057712857,0.5279091604346061,0.0021750239450304674,1.0021021198423137,-2.3061806412291284,-3.587563441113226e-07,2.892759368961553e-06,1.0,0.9987288379634088,0.00014066313196920238,-0.526913707759211,-0.0021668633698121165,0.9979021765473732,2.3024865884162984,3.6456852098058576e-07,-2.8866404067235638e-06,1.0,4,320.783,406.722,0.5157970000000001,960,333.733,406.646,0.996502,305.02,482.23800000000006,0.904237,323.2390000000001,404.131,0.591023,388.492,633.558,1.09351,294.591,518.797,0.864332,320.643,523.972,0.790949,336.285,589.059,0.9004040000000001,325.874,435.361,0.8510200000000001,344.154,440.61,0.883916,2,294.591,404.131,388.492,636.0419999999998,0.0,0.0,0.0,372.759,490.166,0.320357,0.0,0.0,0.0,318.0,636.0419999999998,0.926817,359.769,513.711,0.194235,344.164,524.008,0.7347739999999999,325.882,578.7819999999998,0.7493479999999999,362.37,440.537,0.8183,0.8,294.591,404.131,372.759,524.008,1280,-0.00224585249089,-0.000154822686454,-0.0425186231732,0.00298159383237,-0.00277735386044,0.00169386982452,925,299.7445,527.851
8,6122,42521,1.0012791426281094,-0.000139612057712857,0.5279091604346061,0.0021750239450304674,1.0021021198423137,-2.3061806412291284,-3.587563441113226e-07,2.892759368961553e-06,1.0,0.9987288379634088,0.00014066313196920238,-0.526913707759211,-0.0021668633698121165,0.9979021765473732,2.3024865884162984,3.6456852098058576e-07,-2.8866404067235638e-06,1.0,4,1027.13,445.754,0.904195,960,1050.51,445.74300000000005,0.8167439999999999,1053.22,508.429,0.185835,1032.26,443.102,0.8928860000000001,1008.84,664.722,0.509126,1034.94,490.106,0.202125,1032.38,552.557,0.730901,1011.5,610.024,0.560193,1053.33,471.929,0.683234,1032.4,471.91,0.840628,3,1006.23,440.61300000000006,1068.83,664.804,0.0,0.0,0.0,1006.23,500.491,0.545189,1024.45,440.61300000000006,0.7682939999999999,1068.83,664.804,0.582558,0.0,0.0,0.0,1011.51,549.977,0.77045,1021.94,615.181,1.01636,1011.64,469.338,0.879606,0.8,1006.23,440.61300000000006,1053.33,552.557,1280,-0.00224585249089,-0.000154822686454,-0.0425186231732,0.00298159383237,-0.00277735386044,0.00169386982452,2192,981.5945,551.376
9,6132,42526,1.0012791426281094,-0.000139612057712857,0.5279091604346061,0.0021750239450304674,1.0021021198423137,-2.3061806412291284,-3.587563441113226e-07,2.892759368961553e-06,1.0,0.9987288379634088,0.00014066313196920238,-0.526913707759211,-0.0021668633698121165,0.9979021765473732,2.3024865884162984,3.6456852098058576e-07,-2.8866404067235638e-06,1.0,4,404.012,365.065,0.931779,960,448.408,362.307,0.952984,458.80800000000005,529.172,0.7615890000000001,409.353,357.176,0.8453780000000001,398.839,829.0419999999998,0.793751,445.741,617.79,0.91407,469.24,602.165,0.539037,424.823,719.503,0.793768,448.356,424.923,0.860875,466.66,422.354,0.83809,4,398.839,357.176,544.847,829.0419999999998,0.0,0.0,0.0,0.0,0.0,0.0,403.986,359.73800000000006,0.434939,544.847,802.9810000000001,0.818538,0.0,0.0,0.0,508.439,589.183,0.628748,511.047,695.961,0.852736,484.908,417.099,0.682404,0.8,403.986,357.176,508.439,617.79,1280,-0.00224585249089,-0.000154822686454,-0.0425186231732,0.00298159383237,-0.00277735386044,0.00169386982452,15611,432.7315,594.3685
